C:\WinT,A100\DIL805.PR,O\Data\Def,ormation,\SalimAlha,bsi\Ti64,\Basic file\,039_Compress,ion_Salim_Ti6,4_850_-2,.0_CoolQu,ench_012_.,asc
No.,Time,Tem.1,DL,Force,Strain,kf (Def.),Phi  (D),Phi* (D),Tem.2,Tem.3,Poti,HF
,s,∞C,µm,N,%,N/mm≤,,1/s,∞C,∞C,mm,%
11868,2056.779297,849.9,-4906.42,796.6,49.06,20.6658,0.6827,-0.0002,-20,-20,5.4587,33.12
11869,2056.786865,850,-4906.75,793.1,49.07,20.5732,0.6828,-0.0003,-20,-20,5.4588,33.11
11870,2056.794678,850,-4906.59,789.5,49.07,20.4789,0.6828,-0.0002,-20,-20,5.4589,32.98
11871,2056.802246,850.1,-4906.37,786.8,49.06,20.4104,0.6827,-0.0004,-20,-20,5.4589,32.94
11872,2056.810059,850.1,-4906.59,783.7,49.07,20.3292,0.6828,-0.0004,-20,-20,5.459,32.97
11873,2056.817627,850,-4906.31,780.3,49.06,20.2426,0.6827,-0.0006,-20,-20,5.4591,33.06
11874,2056.825439,849.9,-4906.37,778.5,49.06,20.1949,0.6827,-0.0006,-20,-20,5.4592,33.08
11875,2056.833252,849.8,-4906.37,775,49.06,20.1036,0.6827,-0.0005,-20,-20,5.4593,33.24
11876,2056.84082,849.9,-4906.2,772.1,49.06,20.0313,0.6827,-0.0006,-20,-20,5.4593,33.23
11877,2056.848389,849.8,-4906.42,768.5,49.06,19.9354,0.6827,-0.0005,-20,-20,5.4594,33.25
11878,2056.856201,849.9,-4906.2,767.8,49.06,19.918,0.6827,-0.0006,-20,-20,5.4595,33.14
11879,2056.864014,849.9,-4906.42,763.8,49.06,19.8149,0.6827,-0.0005,-20,-20,5.4596,33.11
11880,2056.871582,850,-4906.53,760.9,49.07,19.7378,0.6827,-0.0005,-20,-20,5.4596,33.11
11881,2056.879395,850,-4906.26,758.5,49.06,19.6768,0.6827,-0.0004,-20,-20,5.4597,32.91
11882,2056.886963,850.1,-4906.2,755.4,49.06,19.5967,0.6827,-0.0004,-20,-20,5.4598,33.08
11883,2056.894775,850.1,-4906.04,753.1,49.06,19.5389,0.6827,-0.0003,-20,-20,5.4599,32.97
11884,2056.902344,850.1,-4906.2,750.3,49.06,19.4652,0.6827,-0.0002,-20,-20,5.4599,32.86
11885,2056.910156,850,-4905.93,746.9,49.06,19.3786,0.6826,-0.0002,-20,-20,5.46,32.97
11886,2056.917969,850,-4906.15,745.1,49.06,19.3303,0.6827,-0.0002,-20,-20,5.4601,33.02
11887,2056.925537,850.1,-4906.37,742.3,49.06,19.2564,0.6827,-0.0003,-20,-20,5.4602,33.1
11888,2056.93335,850,-4906.31,738.5,49.06,19.158,0.6827,-0.0003,-20,-20,5.4603,32.94
11889,2056.940918,850,-4906.31,736.2,49.06,19.0996,0.6827,-0.0003,-20,-20,5.4603,32.95
11890,2056.94873,850,-4906.31,733.6,49.06,19.0302,0.6827,-0.0005,-20,-20,5.4604,33.07
11891,2056.956299,850,-4906.26,731.3,49.06,18.972,0.6827,-0.0004,-20,-20,5.4605,33.1
11892,2056.964111,850,-4906.26,728.2,49.06,18.8916,0.6827,-0.0006,-20,-20,5.4606,33.08
11893,2056.97168,850,-4905.98,726.2,49.06,18.8415,0.6826,-0.0005,-20,-20,5.4606,32.99
11894,2056.979492,850,-4905.93,724.4,49.06,18.7942,0.6826,-0.0005,-20,-20,5.4607,33.06
11895,2056.987061,850,-4905.65,721.2,49.06,18.7113,0.6826,-0.0004,-20,-20,5.4608,33.07
11896,2056.994873,850,-4906.04,717.1,49.06,18.6039,0.6827,-0.0004,-20,-20,5.4609,33.12
11897,2057.002686,849.9,-4905.93,715.8,49.06,18.5715,0.6826,-0.0002,-20,-20,5.4609,33.16
11898,2057.010254,850,-4906.09,711.7,49.06,18.4649,0.6827,-0.0001,-20,-20,5.461,33.17
11899,2057.018066,849.9,-4906.2,710.2,49.06,18.4244,0.6827,-0.0002,-20,-20,5.4611,33.14
11900,2057.025635,849.9,-4906.2,707.2,49.06,18.3477,0.6827,-0.0002,-20,-20,5.4611,33.18
11901,2057.033447,849.9,-4905.87,704.6,49.06,18.2795,0.6826,-0.0004,-20,-20,5.4612,33.08
11902,2057.041016,850,-4906.37,702.2,49.06,18.2156,0.6827,-0.0003,-20,-20,5.4613,33.04
11903,2057.048584,850,-4905.93,699.9,49.06,18.1588,0.6826,-0.0006,-20,-20,5.4614,33.08
11904,2057.056396,850,-4905.87,697.1,49.06,18.0859,0.6826,-0.0005,-20,-20,5.4614,33.02
11905,2057.064209,850.1,-4905.87,694.9,49.06,18.0275,0.6826,-0.0008,-20,-20,5.4615,32.92
11906,2057.071777,850.1,-4906.15,692.2,49.06,17.9571,0.6827,-0.0008,-20,-20,5.4616,32.83
11907,2057.07959,850,-4905.76,688.9,49.06,17.8745,0.6826,-0.0009,-20,-20,5.4617,32.98
11908,2057.087158,850,-4905.49,686.4,49.05,17.8097,0.6825,-0.0008,-20,-20,5.4617,33.17
11909,2057.094971,850,-4905.87,684.2,49.06,17.7499,0.6826,-0.0007,-20,-20,5.4618,33.06
11910,2057.102539,850,-4905.54,681.6,49.06,17.6853,0.6826,-0.0008,-20,-20,5.4619,33.04
11911,2057.110352,850,-4905.87,679.1,49.06,17.6184,0.6826,-0.0005,-20,-20,5.462,32.97
11912,2057.11792,850,-4905.87,677.4,49.06,17.5746,0.6826,-0.0006,-20,-20,5.462,33.03
11913,2057.125732,850,-4905.71,674,49.06,17.4875,0.6826,-0.0004,-20,-20,5.4621,33
11914,2057.133301,850.2,-4905.65,671.8,49.06,17.4293,0.6826,-0.0006,-20,-20,5.4622,32.82
11915,2057.141113,850,-4905.54,670.4,49.06,17.3931,0.6826,-0.0004,-20,-20,5.4622,33.09
11916,2057.148682,850,-4905.76,666.4,49.06,17.2901,0.6826,-0.0005,-20,-20,5.4623,33.08
11917,2057.156494,850,-4905.49,665.4,49.05,17.2655,0.6825,-0.0004,-20,-20,5.4624,33.13
11918,2057.164063,850,-4905.65,663.5,49.06,17.2138,0.6826,-0.0004,-20,-20,5.4625,33.18
11919,2057.171875,849.9,-4905.65,660.1,49.06,17.1261,0.6826,-0.0006,-20,-20,5.4625,33.1
11920,2057.179688,850,-4905.76,657.8,49.06,17.0673,0.6826,-0.0006,-20,-20,5.4626,33.2
11921,2057.187256,850.1,-4905.54,654.5,49.06,16.9804,0.6826,-0.0007,-20,-20,5.4627,33.06
11922,2057.195068,850.2,-4905.6,653,49.06,16.9437,0.6826,-0.0006,-20,-20,5.4628,32.81
11923,2057.202637,850.1,-4905.26,649.8,49.05,16.8608,0.6825,-0.0006,-20,-20,5.4628,32.78
11924,2057.210449,850.1,-4905.43,645.9,49.05,16.7579,0.6825,-0.0005,-20,-20,5.4629,32.82
11925,2057.218018,850.1,-4905.38,644.9,49.05,16.7326,0.6825,-0.0005,-20,-20,5.463,32.87
11926,2057.22583,850.1,-4905.6,642.5,49.06,16.6697,0.6826,-0.0005,-20,-20,5.463,32.95
11927,2057.233398,850,-4905.43,640.4,49.05,16.6155,0.6825,-0.0005,-20,-20,5.4631,32.93
11928,2057.241211,850,-4905.32,637.7,49.05,16.5465,0.6825,-0.0005,-20,-20,5.4632,32.97
11929,2057.249023,849.9,-4905.26,634.2,49.05,16.4553,0.6825,-0.0005,-20,-20,5.4633,33.05
11930,2057.256592,849.9,-4905.54,632.5,49.06,16.4106,0.6826,-0.0004,-20,-20,5.4634,33.12
