C:\WinT,A100\DIL805.PR,O\Data\Def,ormation,\SalimAlha,bsi\Ti64,\Basic file\,058_Compress,ion_Salim_Ti6,4_850_-2,.0_CoolPo,werOff_010_,.asc
No.,Time,Tem.1,DL,Force,Strain,kf (Def.),Phi  (D),Phi* (D),Tem.2,Tem.3,Poti,HF
,s,∞C,µm,N,%,N/mm≤,,1/s,∞C,∞C,mm,%
83,38.995491,165,10.32,2.6,-0.1,0.131,0,0,-20,-20,24.7693,15.79
84,39.547894,167.8,10.52,2.4,-0.11,0.1238,0,0,-20,-20,24.7693,15.9
85,40.10228,170.4,10.83,3.4,-0.11,0.174,0,0,-20,-20,24.7693,16.24
86,40.654694,173.2,11.07,3.4,-0.11,0.1741,0,0,-20,-20,24.7693,16.56
87,41.207298,176,11.3,2.9,-0.11,0.1453,0,0,-20,-20,24.7693,16.5
88,41.761581,178.6,11.68,2.9,-0.12,0.1454,0,0,-20,-20,24.7693,16.78
89,42.3139,181.5,11.87,2.1,-0.12,0.1095,0,0,-20,-20,24.7693,16.82
90,42.868275,184.2,12.15,2.1,-0.12,0.1095,0,0,-20,-20,24.7693,17.05
91,43.420708,187.1,12.4,3.3,-0.12,0.1669,0,0,-20,-20,24.7693,16.93
92,43.975018,189.9,12.67,3.1,-0.13,0.1597,0,0,-20,-20,24.7693,16.96
93,44.527554,192.5,12.93,2.6,-0.13,0.131,0,0,-20,-20,24.7692,17.56
94,45.081848,195.6,13.21,2.3,-0.13,0.1167,0,0,-20,-20,24.7692,17.22
95,45.634243,198.1,13.44,2.7,-0.13,0.1382,0,0,-20,-20,24.7693,17.47
96,46.188469,200.8,13.69,3,-0.14,0.1526,0,0,-20,-20,24.7693,17.79
97,46.740849,203.8,14.01,2.1,-0.14,0.1095,0,0,-20,-20,24.7692,17.52
98,47.295261,206.5,14.32,2.3,-0.14,0.1167,0,0,-20,-20,24.7692,17.57
99,47.847622,209.2,14.57,3.8,-0.15,0.1957,0,0,-20,-20,24.7693,17.95
100,48.402027,212,14.87,2.9,-0.15,0.1454,0,0,-20,-20,24.7692,17.96
101,48.95451,214.8,15.12,2.7,-0.15,0.1382,0,0,-20,-20,24.7692,18.09
102,49.508896,217.5,15.44,3.7,-0.15,0.1885,0,0,-20,-20,24.7692,18.38
103,50.061363,220.2,15.76,3.4,-0.16,0.1741,0,0,-20,-20,24.7692,18.35
104,50.613861,223,15.98,2.3,-0.16,0.1167,0,0,-20,-20,24.7692,18.24
105,51.168236,225.6,16.37,2.1,-0.16,0.1095,0,0,-20,-20,24.7692,18.73
